Continent,CountryID,CountryName,Region,Latitude,Longitude,Bisexual,Gay,Lesbian,N,Transgender
Europe,AT,Austria,Western Europe,47.65,14.705,0.004519578,0.018481633,0.005183873,0.030166106,0.001981022
Europe,BE,Belgium,Western Europe,50.6745,4.4588,0.002827063,0.017988766,0.003817436,0.026118824,0.001485559
Europe,BG,Bulgaria,Eastern Europe,42.625,24.521,0.003107083,0.006487918,0.003093395,0.014139281,0.001450885
Europe,DE,Germany,Western Europe,51.3819,9.9877,0.003220359,0.01729171,0.003040068,0.025204591,0.001652454
Europe,EE,Estonia,Northern Europe,58.777,25.977,0.006123856,0.012852538,0.007484713,0.028275583,0.001814476
Europe,GR,Greece,Southern Europe,39.787,21.617,0.004590308,0.01439564,0.003612491,0.024988658,0.002390219
Europe,ES,Spain,Southern Europe,40.617,-3.388,0.001855769,0.009426367,0.001917771,0.013657436,4.58E-04
Europe,FI,Finland,Northern Europe,62.716,26.192,0.017473311,0.022017111,0.015145999,0.063520843,0.008884421
Europe,FR,France,Western Europe,46.656,2.543,0.001398116,0.00871157,0.001982948,0.012755139,6.63E-04
Europe,HU,Hungary,Eastern Europe,47.174,19.618,0.003739783,0.014666803,0.003094645,0.022851989,0.001350757
Europe,IE,Ireland,Northern Europe,53.214,-7.588,0.004326526,0.018784516,0.009196586,0.035329674,0.003022046
Europe,LT,Lithuania,Northern Europe,55.342,24.23,0.005522508,0.014693218,0.005924145,0.027478661,0.00133879
Europe,LU,Luxembourg,Western Europe,49.671,6.113,0.007910409,0.035220154,0.009605497,0.059893096,0.007157037
Europe,LV,Latvia,Northern Europe,57.017,25.0173,0.005161432,0.0098313,0.007373475,0.024627406,0.002261199
Europe,MT,Malta,Southern Europe,35.9024,14.4137,0.013808603,0.04118773,0.025950651,0.085232413,0.004285429
Europe,PL,Poland,Eastern Europe,52.442,19.72,0.001056139,0.00460813,9.85E-04,0.007329921,6.80E-04
Europe,PT,Portugal,Southern Europe,40.957,-7.9373,0.003937291,0.011108106,0.004336726,0.020209525,8.27E-04
Europe,RO,Romania,Eastern Europe,45.933,25.119,0.001415891,0.003440018,6.93E-04,0.006281772,7.33E-04
Europe,SE,Sweden,Northern Europe,66.2188,19,0.006407984,0.011061652,0.004485589,0.025884055,0.00392883
Europe,SI,Slovenia,Southern Europe,46.037,14.534,0.004958294,0.016770702,0.007777717,0.030916424,0.001409711
Europe,SK,Slovakia,Eastern Europe,48.8595,19.4434,0.002903333,0.010799657,0.002662929,0.018492564,0.002126645
Europe,GB,United Kingdom,Northern Europe,52.289,-1.259,0.001359493,0.005957594,0.002017262,0.010610639,0.001276291
